id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote_eur_price,quote_eur_volume_24h,quote_eur_volume_change_24h,quote_eur_percent_change_1h,quote_eur_percent_change_24h,quote_eur_percent_change_7d,quote_eur_percent_change_30d,quote_eur_percent_change_60d,quote_eur_percent_change_90d,quote_eur_market_cap,quote_eur_market_cap_dominance,quote_eur_fully_diluted_market_cap,quote_eur_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address
3801,BORA,BORA,bora,4,2019-03-18T00:00:00Z,"[""marketplace"",""gaming"",""wallet""]",,861250000,1205750000,,86,861250000,872536097.5985628,2022-01-28T19:17:00Z,0.9089095820828387,151449784.77086842,-24.5919,-0.09489238,4.8322924,14.31122376,7.28668988,-21.30418103,264.88222872,782798377.5688449,0.0522,1095917728.598188,2022-01-28T19:18:02Z,4256,Klaytn,KLAY,klaytn,0x02cbe46fb8a1f579254a9b485788f2d86cad51aa
873,NEM,XEM,nem,120,2015-04-01T00:00:00Z,"[""poi"",""medium-of-exchange"",""payments"",""smart-contracts"",""fantom-ecosystem""]",8999999999,8999999999,8999999999,,87,,,2022-01-28T19:17:00Z,0.08663956992813382,24215296.77035381,-9.0634,-0.57115618,-3.51166319,-7.19147583,-23.3939449,-43.98696371,-46.14255255,779756129.2665648,0.052,779756129.2709919,2022-01-28T19:18:02Z,,,,,
5864,yearn.finance,YFI,yearn-finance,253,2020-07-18T00:00:00Z,"[""defi"",""yield-farming"",""binance-smart-chain"",""yield-aggregator"",""yearn-partnerships"",""three-arrows-capital-portfolio"",""polychain-capital-portfolio"",""governance"",""blockchain-capital-portfolio"",""framework-ventures-portfolio"",""alameda-research-portfolio"",""parafi-capital"",""fantom-ecosystem""]",36666,36637.72122588,36666,,88,,,2022-01-28T19:17:00Z,20629.983812734863,121694871.04227255,-18.8488,-0.30535193,-5.69953035,-21.03286908,-21.65997861,-23.94317061,-32.51555788,755835595.8253969,0.0504,756418986.4800243,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
5604,Secret,SCRT,secret,27,2020-05-19T00:00:00Z,"[""cosmos-ecosystem"",""defi"",""privacy""]",,149815729,190165060,,89,,,2022-01-28T19:17:00Z,4.998961464216092,23662114.89882998,-41.2564,-0.70967512,-5.35768635,-17.82646555,11.47610663,-9.91870544,-38.53656148,748923056.0044411,0.0499,950627806.7809696,2022-01-28T19:18:02Z,,,,,
8646,Mina,MINA,mina,48,2021-03-02T00:00:00Z,"[""pos"",""zero-knowledge-proofs"",""staking"",""coinbase-ventures-portfolio"",""polychain-capital-portfolio""]",,361722195.84003925,824104972,,90,,,2022-01-28T19:17:00Z,2.045029574757392,28785336.345378418,-12.0196,0.29389469,-0.00812815,-27.67277623,-33.33479295,-52.46866881,-49.4404475,739732588.3390654,0.0493,1685319040.4433246,2022-01-28T19:18:02Z,,,,,
1168,Decred,DCR,decred,56,2016-02-10T00:00:00Z,"[""mineable"",""hybrid-pow-pos"",""blake256"",""medium-of-exchange"",""store-of-value"",""privacy"",""dao"",""placeholder-ventures-portfolio""]",21000000,13717037.89222349,13717037.89222349,,91,,,2022-01-28T19:17:00Z,53.34358167051502,4022462.0893732426,-70.5725,0.13164019,-1.9710596,3.11180472,-16.43246182,-43.75122285,-49.04641835,731715931.081373,0.0488,1120215215.082593,2022-01-28T19:18:02Z,,,,,
5692,Compound,COMP,compound,241,2020-06-16T00:00:00Z,"[""defi"",""dao"",""yield-farming"",""binance-smart-chain"",""polkadot-ecosystem"",""coinbase-ventures-portfolio"",""three-arrows-capital-portfolio"",""polychain-capital-portfolio"",""lending-borowing"",""dragonfly-capital-portfolio"",""alameda-research-portfolio"",""a16z-portfolio"",""pantera-capital-portfolio"",""paradigm-portfolio""]",10000000,6528528.31005258,10000000,,92,,,2022-01-28T19:17:00Z,108.77037311777974,59978285.53050055,-12.8078,-0.61677493,-5.75369464,-20.95516183,-40.49912619,-57.63258663,-62.67403148,710110460.1944072,0.0474,1087703731.1756945,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0xc00e94cb662c3520282e6f5717214004a7f26888
2682,Holo,HOT,holo,101,2018-04-29T00:00:00Z,"[""platform"",""distributed-computing"",""filesharing"",""storage""]",,173174228546.6286,177619433541.14133,,93,,,2022-01-28T19:17:00Z,0.003936631418131294,40605652.58826408,-28.0824,-0.08069878,-1.31221861,-14.43949313,-42.1101282,-64.2702278,-59.97240536,681723108.9073074,0.0455,699222242.5453348,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
8104,1inch Network,1INCH,1inch,203,2020-12-25T00:00:00Z,"[""decentralized-exchange"",""defi"",""amm"",""binance-smart-chain"",""binance-labs-portfolio"",""blockchain-capital-portfolio"",""dragonfly-capital-portfolio"",""fabric-ventures-portfolio"",""alameda-research-portfolio"",""parafi-capital"",""spartan-group""]",,468115282.5724852,1500000000,,94,468115282.5724852,754697923.0019367,2022-01-28T19:17:00Z,1.4463947897495006,81709817.58302206,6.1058,0.09727634,-0.6659292,-16.57619667,-34.07496517,-56.86958551,-66.30906823,677079505.7149577,0.0451,2169592184.6275296,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0x111111111117dc0aa78b770fa6a738034120c302
2634,XDC Network,XDC,xinfin,50,2018-04-12T00:00:00Z,[],,12305012698.75,37705012698.75,,95,,,2022-01-28T19:17:00Z,0.0541676404318027,7700829.650369322,-19.0215,-0.23934088,-3.80985606,-15.9589196,-30.87844358,-35.47426211,-33.48006568,666533503.3746562,0.0445,2042391570.3405282,2022-01-28T19:18:02Z,,,,,
2777,IoTeX,IOTX,iotex,73,2018-05-25T00:00:00Z,"[""platform"",""iot"",""binance-smart-chain"",""hashkey-capital-portfolio"",""kenetic-capital-portfolio"",""iotex-ecosystem""]",10000000000,9540779324.30788,9626124332.32,,96,6116124331.505642,460749190.1011351,2022-01-28T19:17:00Z,0.06758569573503823,18705676.597336933,-26.3915,0.53804201,0.06936363,-20.58171919,-39.71261223,-53.34815302,8.8267298,644820208.487816,0.043,675856957.347686,2022-01-28T19:18:02Z,,,,,
2577,Ravencoin,RVN,ravencoin,93,2018-03-10T00:00:00Z,"[""mineable"",""pow"",""platform"",""crowdfunding""]",21000000000,10473290000,10473290000,,97,,,2022-01-28T19:17:00Z,0.06081265642413249,39060811.685905665,8.9517,-0.08880314,3.45696908,-10.17617585,-27.04299378,-39.29221185,-42.78938509,636908586.4003025,0.0425,1277065784.9028416,2022-01-28T19:18:02Z,,,,,
5777,renBTC,RENBTC,renbtc,37,2020-06-28T00:00:00Z,"[""defi"",""binance-smart-chain"",""wrapped-tokens"",""fantom-ecosystem""]",13698,17526.44142302,17526.44142302,,98,,,2022-01-28T19:17:00Z,33315.090535269526,23644324.919437457,1020.0475,0.13690375,1.69949278,-4.80055911,-22.15893079,-35.26037514,-39.68517497,583894982.7690094,0.0389,456350110.1530212,2022-01-28T19:18:02Z,1027,Ethereum,ETH,ethereum,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d
1808,OMG Network,OMG,omg,263,2017-07-14T00:00:00Z,"[""medium-of-exchange"",""payments"",""scaling"",""state-channel"",""pantera-capital-portfolio""]",140245399,140245398.24513277,140245398.24513277,,99,,,2022-01-28T19:17:00Z,3.9822461990300115,359112732.1271073,-0.5062,-0.44843762,2.37895854,-13.81761863,-26.58276746,-46.24210211,-67.65650003,558491704.0931302,0.0372,558491707.0991365,2022-01-28T19:18:02Z,,,,,
2300,WAX,WAXP,wax,45,2017-12-21T00:00:00Z,"[""media"",""collectibles-nfts"",""gaming"",""entertainment"",""payments"",""metaverse"",""galaxy-digital-portfolio"",""kenetic-capital-portfolio"",""play-to-earn"",""okex-blockdream-ventures-portfolio""]",,1916507027.7909613,3843615899.824451,,100,,,2022-01-28T19:17:00Z,0.2718116523561407,31021605.56889386,-20.1801,-0.43474144,0.85109014,-9.1192317,-34.70670557,-58.91552468,-23.92639233,520928941.9760172,0.0347,1044739588.7561997,2022-01-28T19:18:02Z,,,,,
